Date,Month,Day,Hours,Minutes,Weekend,Intensity,Congested
1,1,Mon,0,10,0,1.754385965,0
1,1,Mon,0,20,0,21.42857143,0
1,1,Mon,0,30,0,7.142857143,0
1,1,Mon,0,40,0,7.142857143,0
1,1,Mon,0,50,0,7.142857143,0
1,1,Mon,1,0,0,7.142857143,0
1,1,Mon,1,10,0,7.142857143,0
1,1,Mon,1,20,0,7.142857143,0
1,1,Mon,1,30,0,7.142857143,0
1,1,Mon,1,40,0,7.142857143,0
1,1,Mon,1,50,0,7.142857143,0
1,1,Mon,2,0,0,7.142857143,0
1,1,Mon,2,10,0,7.142857143,0
1,1,Mon,2,20,0,7.142857143,0
1,1,Mon,2,30,0,7.142857143,0
1,1,Mon,2,40,0,7.142857143,0
1,1,Mon,2,50,0,7.142857143,0
1,1,Mon,3,0,0,7.142857143,0
1,1,Mon,3,10,0,7.142857143,0
1,1,Mon,3,20,0,7.142857143,0
1,1,Mon,3,30,0,7.142857143,0
1,1,Mon,3,40,0,7.142857143,0
1,1,Mon,3,50,0,7.142857143,0
1,1,Mon,4,0,0,7.142857143,0
1,1,Mon,4,10,0,7.142857143,0
1,1,Mon,4,20,0,7.142857143,0
1,1,Mon,4,30,0,7.142857143,0
1,1,Mon,4,40,0,7.142857143,0
1,1,Mon,4,50,0,7.142857143,0
1,1,Mon,5,0,0,7.142857143,0
1,1,Mon,5,10,0,7.142857143,0
1,1,Mon,5,20,0,7.142857143,0
1,1,Mon,5,30,0,7.142857143,0
1,1,Mon,5,40,0,7.142857143,0
1,1,Mon,5,50,0,7.142857143,0
1,1,Mon,6,0,0,8.928571429,0
1,1,Mon,6,10,0,8.928571429,0
1,1,Mon,6,20,0,8.928571429,0
1,1,Mon,6,30,0,8.928571429,0
1,1,Mon,6,40,0,7.142857143,0
1,1,Mon,6,50,0,7.142857143,0
1,1,Mon,7,0,0,7.142857143,0
1,1,Mon,7,10,0,7.142857143,0
1,1,Mon,7,20,0,7.142857143,0
1,1,Mon,7,30,0,16.43835616,0
1,1,Mon,7,40,0,19.44444444,0
1,1,Mon,7,50,0,20.68965517,0
1,1,Mon,8,0,0,22.4137931,0
1,1,Mon,8,10,0,24.13793103,0
1,1,Mon,8,20,0,22.4137931,0
1,1,Mon,8,30,0,20.68965517,0
1,1,Mon,8,40,0,22.4137931,0
1,1,Mon,8,50,0,25.86206897,0
1,1,Mon,9,0,0,25.86206897,0
1,1,Mon,9,10,0,39.47368421,1
1,1,Mon,9,20,0,40.78947368,1
1,1,Mon,9,30,0,40.78947368,1
1,1,Mon,9,40,0,28.07017544,1
1,1,Mon,9,50,0,31.57894737,1
1,1,Mon,10,0,0,35.52631579,1
1,1,Mon,10,10,0,24.56140351,0
1,1,Mon,10,20,0,24.56140351,0
1,1,Mon,10,30,0,24.56140351,0
1,1,Mon,10,40,0,24.56140351,0
1,1,Mon,10,50,0,36.84210526,1
1,1,Mon,11,0,0,38.15789474,1
1,1,Mon,11,10,0,29.8245614,1
1,1,Mon,11,20,0,42.10526316,1
1,1,Mon,11,30,0,42.66666667,1
1,1,Mon,11,40,0,31.57894737,1
1,1,Mon,11,50,0,33.33333333,1
1,1,Mon,12,0,0,33.33333333,1
1,1,Mon,12,10,0,48.64864865,1
1,1,Mon,12,20,0,35.0877193,1
1,1,Mon,12,30,0,35.0877193,1
1,1,Mon,12,40,0,33.33333333,1
1,1,Mon,12,50,0,29.8245614,1
1,1,Mon,13,0,0,26.31578947,0
1,1,Mon,13,10,0,29.8245614,1
1,1,Mon,13,20,0,26.31578947,0
1,1,Mon,13,30,0,28.07017544,1
1,1,Mon,13,40,0,24.56140351,0
1,1,Mon,13,50,0,24.13793103,0
1,1,Mon,14,0,0,22.4137931,0
1,1,Mon,14,10,0,31.03448276,1
1,1,Mon,14,20,0,25.86206897,0
1,1,Mon,14,30,0,24.13793103,0
1,1,Mon,14,40,0,20.68965517,0
1,1,Mon,14,50,0,25.86206897,0
1,1,Mon,15,0,0,25.86206897,0
1,1,Mon,15,10,0,25.86206897,0
1,1,Mon,15,20,0,25.86206897,0
1,1,Mon,15,30,0,27.5862069,1
1,1,Mon,15,40,0,27.5862069,1
1,1,Mon,15,50,0,29.31034483,1
1,1,Mon,16,0,0,27.5862069,1
1,1,Mon,16,10,0,32.75862069,1
1,1,Mon,16,20,0,29.31034483,1
1,1,Mon,16,30,0,29.31034483,1
1,1,Mon,16,40,0,29.31034483,1
1,1,Mon,16,50,0,29.31034483,1
1,1,Mon,17,0,0,31.03448276,1
1,1,Mon,17,10,0,32.75862069,1
1,1,Mon,17,20,0,32.75862069,1
1,1,Mon,17,30,0,31.03448276,1
1,1,Mon,17,40,0,32.75862069,1
1,1,Mon,17,50,0,31.03448276,1
1,1,Mon,18,0,0,31.57894737,1
