Date,Month,Day,Hours,Minutes,Weekend,Intensity,Congested
1,1,Mon,0,10,0,17.64705882,0
1,1,Mon,0,20,0,16.12903226,0
1,1,Mon,0,30,0,16.12903226,0
1,1,Mon,0,40,0,16.12903226,0
1,1,Mon,0,50,0,16.12903226,0
1,1,Mon,1,0,0,16.12903226,0
1,1,Mon,1,10,0,16.12903226,0
1,1,Mon,1,20,0,16.12903226,0
1,1,Mon,1,30,0,16.12903226,0
1,1,Mon,1,40,0,16.12903226,0
1,1,Mon,1,50,0,16.12903226,0
1,1,Mon,2,0,0,16.12903226,0
1,1,Mon,2,10,0,0.0,0
1,1,Mon,2,20,0,16.12903226,0
1,1,Mon,2,30,0,16.12903226,0
1,1,Mon,2,40,0,16.12903226,0
1,1,Mon,2,50,0,16.12903226,0
1,1,Mon,3,0,0,16.12903226,0
1,1,Mon,3,10,0,16.12903226,0
1,1,Mon,3,20,0,0.0,0
1,1,Mon,3,30,0,16.12903226,0
1,1,Mon,3,40,0,16.12903226,0
1,1,Mon,3,50,0,16.12903226,0
1,1,Mon,4,0,0,16.12903226,0
1,1,Mon,4,10,0,16.12903226,0
1,1,Mon,4,20,0,0.0,0
1,1,Mon,4,30,0,16.12903226,0
1,1,Mon,4,40,0,16.12903226,0
1,1,Mon,4,50,0,16.12903226,0
1,1,Mon,5,0,0,16.12903226,0
1,1,Mon,5,10,0,16.12903226,0
1,1,Mon,5,20,0,16.12903226,0
1,1,Mon,5,30,0,16.12903226,0
1,1,Mon,5,40,0,0.0,0
1,1,Mon,5,50,0,16.12903226,0
1,1,Mon,6,0,0,16.12903226,0
1,1,Mon,6,10,0,16.12903226,0
1,1,Mon,6,20,0,16.12903226,0
1,1,Mon,6,30,0,16.12903226,0
1,1,Mon,6,40,0,16.12903226,0
1,1,Mon,6,50,0,16.12903226,0
1,1,Mon,7,0,0,16.12903226,0
1,1,Mon,7,10,0,16.12903226,0
1,1,Mon,7,20,0,16.12903226,0
1,1,Mon,7,30,0,0.0,0
1,1,Mon,7,40,0,15.625,0
1,1,Mon,7,50,0,20.58823529,0
1,1,Mon,8,0,0,20.58823529,0
1,1,Mon,8,10,0,20.58823529,0
1,1,Mon,8,20,0,20.58823529,0
1,1,Mon,8,30,0,23.52941176,0
1,1,Mon,8,40,0,26.47058824,0
1,1,Mon,8,50,0,26.47058824,0
1,1,Mon,9,0,0,29.41176471,0
1,1,Mon,9,10,0,29.41176471,0
1,1,Mon,9,20,0,44.11764706,1
1,1,Mon,9,30,0,29.41176471,0
1,1,Mon,9,40,0,29.41176471,0
1,1,Mon,9,50,0,38.23529412,0
1,1,Mon,10,0,0,41.17647059,0
1,1,Mon,10,10,0,41.17647059,0
1,1,Mon,10,20,0,41.17647059,0
1,1,Mon,10,30,0,41.17647059,0
1,1,Mon,10,40,0,41.17647059,0
1,1,Mon,10,50,0,41.17647059,0
1,1,Mon,11,0,0,47.05882353,1
1,1,Mon,11,10,0,48.57142857,1
1,1,Mon,11,20,0,60.0,1
1,1,Mon,11,30,0,54.28571429,1
1,1,Mon,11,40,0,54.28571429,1
1,1,Mon,11,50,0,54.28571429,1
1,1,Mon,12,0,0,65.71428571,1
1,1,Mon,12,10,0,65.71428571,1
1,1,Mon,12,20,0,62.85714286,1
1,1,Mon,12,30,0,60.0,1
1,1,Mon,12,40,0,60.0,1
1,1,Mon,12,50,0,54.28571429,1
1,1,Mon,13,0,0,68.57142857,1
1,1,Mon,13,10,0,68.57142857,1
1,1,Mon,13,20,0,68.57142857,1
1,1,Mon,13,30,0,48.57142857,1
1,1,Mon,13,40,0,48.57142857,1
1,1,Mon,13,50,0,51.42857143,1
1,1,Mon,14,0,0,51.42857143,1
1,1,Mon,14,10,0,51.42857143,1
1,1,Mon,14,20,0,51.42857143,1
1,1,Mon,14,30,0,51.42857143,1
1,1,Mon,14,40,0,58.06451613,1
1,1,Mon,14,50,0,67.74193548,1
1,1,Mon,15,0,0,54.83870968,1
1,1,Mon,15,10,0,53.33333333,1
1,1,Mon,15,20,0,60.0,1
1,1,Mon,15,30,0,63.33333333,1
1,1,Mon,15,40,0,63.33333333,1
1,1,Mon,15,50,0,50.0,1
1,1,Mon,16,0,0,60.0,1
1,1,Mon,16,10,0,60.0,1
1,1,Mon,16,20,0,56.66666667,1
1,1,Mon,16,30,0,56.66666667,1
1,1,Mon,16,40,0,56.66666667,1
1,1,Mon,16,50,0,56.66666667,1
1,1,Mon,17,0,0,70.0,1
1,1,Mon,17,10,0,70.96774194,1
1,1,Mon,17,20,0,74.19354839,1
1,1,Mon,17,30,0,67.74193548,1
1,1,Mon,17,40,0,66.66666667,1
1,1,Mon,17,50,0,80.76923077,1
1,1,Mon,18,0,0,83.87096774,1
1,1,Mon,18,10,0,80.64516129,1
1,1,Mon,18,20,0,74.19354839,1
1,1,Mon,18,30,0,74.19354839,1
1,1,Mon,18,40,0,74.19354839,1
1,1,Mon,18,50,0,74.19354839,1
1,1,Mon,19,0,0,70.96774194,1
1,1,Mon,19,10,0,70.96774194,1
1,1,Mon,19,20,0,80.64516129,1
1,1,Mon,19,30,0,80.64516129,1
1,1,Mon,19,40,0,76.92307692,1
