Date,Month,Day,Hours,Minutes,Weekend,Intensity,Congested
1,1,Mon,0,10,0,5.405405405,0
1,1,Mon,0,20,0,4.166666667,0
1,1,Mon,0,30,0,5.714285714,0
1,1,Mon,0,40,0,5.714285714,0
1,1,Mon,0,50,0,5.714285714,0
1,1,Mon,1,0,0,5.714285714,0
1,1,Mon,1,10,0,5.714285714,0
1,1,Mon,1,20,0,5.714285714,0
1,1,Mon,1,30,0,5.714285714,0
1,1,Mon,1,40,0,5.714285714,0
1,1,Mon,1,50,0,5.714285714,0
1,1,Mon,2,0,0,5.714285714,0
1,1,Mon,2,10,0,5.714285714,0
1,1,Mon,2,20,0,5.714285714,0
1,1,Mon,2,30,0,5.714285714,0
1,1,Mon,2,40,0,5.714285714,0
1,1,Mon,2,50,0,5.714285714,0
1,1,Mon,3,0,0,5.714285714,0
1,1,Mon,3,10,0,5.714285714,0
1,1,Mon,3,20,0,5.714285714,0
1,1,Mon,3,30,0,5.714285714,0
1,1,Mon,3,40,0,5.714285714,0
1,1,Mon,3,50,0,5.714285714,0
1,1,Mon,4,0,0,5.714285714,0
1,1,Mon,4,10,0,5.714285714,0
1,1,Mon,4,20,0,5.714285714,0
1,1,Mon,4,30,0,5.714285714,0
1,1,Mon,4,40,0,5.714285714,0
1,1,Mon,4,50,0,5.714285714,0
1,1,Mon,5,0,0,5.714285714,0
1,1,Mon,5,10,0,5.714285714,0
1,1,Mon,5,20,0,5.714285714,0
1,1,Mon,5,30,0,5.714285714,0
1,1,Mon,5,40,0,5.714285714,0
1,1,Mon,5,50,0,5.714285714,0
1,1,Mon,6,0,0,5.714285714,0
1,1,Mon,6,10,0,5.714285714,0
1,1,Mon,6,20,0,11.42857143,0
1,1,Mon,6,30,0,5.714285714,0
1,1,Mon,6,40,0,5.714285714,0
1,1,Mon,6,50,0,11.42857143,0
1,1,Mon,7,0,0,11.42857143,0
1,1,Mon,7,10,0,11.42857143,0
1,1,Mon,7,20,0,11.42857143,0
1,1,Mon,7,30,0,11.42857143,0
1,1,Mon,7,40,0,11.42857143,0
1,1,Mon,7,50,0,11.42857143,0
1,1,Mon,8,0,0,5.714285714,0
1,1,Mon,8,10,0,5.714285714,0
1,1,Mon,8,20,0,5.714285714,0
1,1,Mon,8,30,0,10.81081081,0
1,1,Mon,8,40,0,18.91891892,0
1,1,Mon,8,50,0,48.64864865,1
1,1,Mon,9,0,0,48.64864865,1
1,1,Mon,9,10,0,54.05405405,1
1,1,Mon,9,20,0,54.05405405,1
1,1,Mon,9,30,0,54.05405405,1
1,1,Mon,9,40,0,67.56756757,1
1,1,Mon,9,50,0,67.56756757,1
1,1,Mon,10,0,0,67.56756757,1
