Date,Month,Day,Hours,Minutes,Weekend,Intensity,Congested
1,1,Mon,0,10,0,2.173913043,0
1,1,Mon,0,20,0,16.12903226,0
1,1,Mon,0,30,0,2.272727273,0
1,1,Mon,0,40,0,2.272727273,0
1,1,Mon,0,50,0,2.272727273,0
1,1,Mon,1,0,0,2.272727273,0
1,1,Mon,1,10,0,2.272727273,0
1,1,Mon,1,20,0,2.272727273,0
1,1,Mon,1,30,0,2.272727273,0
1,1,Mon,1,40,0,2.272727273,0
1,1,Mon,1,50,0,2.272727273,0
1,1,Mon,2,0,0,2.272727273,0
1,1,Mon,2,10,0,2.272727273,0
1,1,Mon,2,20,0,2.272727273,0
1,1,Mon,2,30,0,2.272727273,0
1,1,Mon,2,40,0,2.272727273,0
1,1,Mon,2,50,0,2.272727273,0
1,1,Mon,3,0,0,2.272727273,0
1,1,Mon,3,10,0,2.272727273,0
1,1,Mon,3,20,0,2.272727273,0
1,1,Mon,3,30,0,2.272727273,0
1,1,Mon,3,40,0,2.272727273,0
1,1,Mon,3,50,0,2.272727273,0
1,1,Mon,4,0,0,2.272727273,0
1,1,Mon,4,10,0,2.272727273,0
1,1,Mon,4,20,0,2.272727273,0
1,1,Mon,4,30,0,2.272727273,0
1,1,Mon,4,40,0,2.272727273,0
1,1,Mon,4,50,0,2.272727273,0
1,1,Mon,5,0,0,2.272727273,0
1,1,Mon,5,10,0,2.272727273,0
1,1,Mon,5,20,0,2.272727273,0
1,1,Mon,5,30,0,2.272727273,0
1,1,Mon,5,40,0,2.272727273,0
1,1,Mon,5,50,0,2.272727273,0
1,1,Mon,6,0,0,2.272727273,0
1,1,Mon,6,10,0,2.272727273,0
1,1,Mon,6,20,0,2.272727273,0
1,1,Mon,6,30,0,2.272727273,0
1,1,Mon,6,40,0,2.272727273,0
1,1,Mon,6,50,0,2.272727273,0
1,1,Mon,7,0,0,2.272727273,0
1,1,Mon,7,10,0,2.272727273,0
1,1,Mon,7,20,0,2.272727273,0
1,1,Mon,7,30,0,2.272727273,0
1,1,Mon,7,40,0,2.272727273,0
1,1,Mon,7,50,0,2.272727273,0
1,1,Mon,8,0,0,27.65957447,0
1,1,Mon,8,10,0,29.78723404,0
1,1,Mon,8,20,0,31.91489362,0
1,1,Mon,8,30,0,23.91304348,0
1,1,Mon,8,40,0,30.43478261,0
1,1,Mon,8,50,0,26.08695652,0
1,1,Mon,9,0,0,21.73913043,0
1,1,Mon,9,10,0,23.91304348,0
1,1,Mon,9,20,0,23.91304348,0
1,1,Mon,9,30,0,15.2173913,0
1,1,Mon,9,40,0,15.2173913,0
1,1,Mon,9,50,0,15.2173913,0
1,1,Mon,10,0,0,14.89361702,0
1,1,Mon,10,10,0,14.89361702,0
1,1,Mon,10,20,0,19.14893617,0
1,1,Mon,10,30,0,19.14893617,0
1,1,Mon,10,40,0,19.14893617,0
1,1,Mon,10,50,0,25.53191489,0
1,1,Mon,11,0,0,25.53191489,0
1,1,Mon,11,10,0,25.53191489,0
1,1,Mon,11,20,0,27.65957447,0
1,1,Mon,11,30,0,36.17021277,0
1,1,Mon,11,40,0,42.55319149,1
1,1,Mon,11,50,0,44.68085106,1
1,1,Mon,12,0,0,55.31914894,1
1,1,Mon,12,10,0,53.19148936,1
1,1,Mon,12,20,0,53.19148936,1
1,1,Mon,12,30,0,44.68085106,1
1,1,Mon,12,40,0,59.57446809,1
1,1,Mon,12,50,0,59.57446809,1
1,1,Mon,13,0,0,63.82978723,1
1,1,Mon,13,10,0,53.19148936,1
1,1,Mon,13,20,0,53.19148936,1
1,1,Mon,13,30,0,48.93617021,1
1,1,Mon,13,40,0,44.68085106,1
1,1,Mon,13,50,0,44.68085106,1
1,1,Mon,14,0,0,46.80851064,1
1,1,Mon,14,10,0,44.68085106,1
1,1,Mon,14,20,0,44.68085106,1
1,1,Mon,14,30,0,55.0,1
1,1,Mon,14,40,0,58.2278481,1
1,1,Mon,14,50,0,58.2278481,1
1,1,Mon,15,0,0,51.25,1
1,1,Mon,15,10,0,42.55319149,1
1,1,Mon,15,20,0,42.55319149,1
1,1,Mon,15,30,0,40.42553191,1
1,1,Mon,15,40,0,38.29787234,1
1,1,Mon,15,50,0,38.29787234,1
1,1,Mon,16,0,0,38.29787234,1
1,1,Mon,16,10,0,64.1025641,1
1,1,Mon,16,20,0,60.25641026,1
1,1,Mon,16,30,0,56.96202532,1
1,1,Mon,16,40,0,53.19148936,1
1,1,Mon,16,50,0,53.19148936,1
1,1,Mon,17,0,0,65.95744681,1
1,1,Mon,17,10,0,61.70212766,1
1,1,Mon,17,20,0,61.70212766,1
1,1,Mon,17,30,0,65.95744681,1
1,1,Mon,17,40,0,68.08510638,1
1,1,Mon,17,50,0,68.08510638,1
1,1,Mon,18,0,0,70.21276596,1
1,1,Mon,18,10,0,72.34042553,1
1,1,Mon,18,20,0,65.95744681,1
1,1,Mon,18,30,0,70.21276596,1
1,1,Mon,18,40,0,80.76923077,1
1,1,Mon,18,50,0,80.76923077,1
1,1,Mon,19,0,0,79.48717949,1
1,1,Mon,19,10,0,78.20512821,1
1,1,Mon,19,20,0,75.64102564,1
1,1,Mon,19,30,0,75.64102564,1
1,1,Mon,19,40,0,75.64102564,1
1,1,Mon,19,50,0,75.32467532,1
1,1,Mon,20,0,0,74.35897436,1
1,1,Mon,20,10,0,73.07692308,1
1,1,Mon,20,20,0,73.07692308,1
1,1,Mon,20,30,0,75.64102564,1
1,1,Mon,20,40,0,75.64102564,1
1,1,Mon,20,50,0,75.64102564,1
1,1,Mon,21,0,0,70.51282051,1
1,1,Mon,21,10,0,69.23076923,1
1,1,Mon,21,20,0,66.66666667,1
1,1,Mon,21,30,0,62.82051282,1
1,1,Mon,21,40,0,61.53846154,1
1,1,Mon,21,50,0,57.69230769,1
1,1,Mon,22,0,0,50.0,1
1,1,Mon,22,10,0,46.15384615,1
1,1,Mon,22,20,0,39.74358974,1
1,1,Mon,22,30,0,19.14893617,0
1,1,Mon,22,40,0,19.14893617,0
1,1,Mon,22,50,0,14.89361702,0
1,1,Mon,23,0,0,8.510638298,0
1,1,Mon,23,10,0,8.510638298,0
1,1,Mon,23,20,0,2.272727273,0
1,1,Mon,23,30,0,2.272727273,0
1,1,Mon,23,40,0,2.272727273,0
1,1,Mon,23,50,0,2.272727273,0
1,2,Thu,0,0,0,2.272727273,0
2,1,Tue,0,0,0,10.41666667,0
2,1,Tue,0,10,0,10.41666667,0
2,1,Tue,0,20,0,10.41666667,0
2,1,Tue,0,30,0,10.41666667,0
2,1,Tue,0,40,0,10.41666667,0
2,1,Tue,0,50,0,10.41666667,0
2,1,Tue,1,0,0,10.41666667,0
2,1,Tue,1,10,0,10.41666667,0
2,1,Tue,1,20,0,10.41666667,0
2,1,Tue,1,30,0,10.41666667,0
2,1,Tue,1,40,0,10.41666667,0
2,1,Tue,1,50,0,10.41666667,0
2,1,Tue,2,0,0,10.41666667,0
