Date,Month,Day,Hours,Minutes,Weekend,Intensity,Congested
1,1,Mon,0,10,0,33.33333333,0
1,1,Mon,0,20,0,12.0,0
1,1,Mon,0,30,0,12.0,0
1,1,Mon,0,40,0,12.0,0
1,1,Mon,0,50,0,12.0,0
1,1,Mon,1,0,0,12.0,0
1,1,Mon,1,10,0,12.0,0
1,1,Mon,1,20,0,12.0,0
1,1,Mon,1,30,0,12.0,0
1,1,Mon,1,40,0,12.0,0
1,1,Mon,1,50,0,12.0,0
1,1,Mon,2,0,0,12.0,0
1,1,Mon,2,10,0,12.0,0
1,1,Mon,2,20,0,12.0,0
1,1,Mon,2,30,0,12.0,0
1,1,Mon,2,40,0,12.0,0
1,1,Mon,2,50,0,12.0,0
1,1,Mon,3,0,0,12.0,0
1,1,Mon,3,10,0,12.0,0
1,1,Mon,3,20,0,12.0,0
1,1,Mon,3,30,0,12.0,0
1,1,Mon,3,40,0,12.0,0
1,1,Mon,3,50,0,12.0,0
1,1,Mon,4,0,0,12.0,0
1,1,Mon,4,10,0,12.0,0
1,1,Mon,4,20,0,12.0,0
1,1,Mon,4,30,0,12.0,0
1,1,Mon,4,40,0,12.0,0
1,1,Mon,4,50,0,12.0,0
1,1,Mon,5,0,0,12.0,0
1,1,Mon,5,10,0,12.0,0
1,1,Mon,5,20,0,12.0,0
1,1,Mon,5,30,0,12.0,0
1,1,Mon,5,40,0,12.0,0
1,1,Mon,5,50,0,12.0,0
1,1,Mon,6,0,0,12.0,0
1,1,Mon,6,10,0,12.0,0
1,1,Mon,6,20,0,12.0,0
1,1,Mon,6,30,0,12.0,0
1,1,Mon,6,40,0,12.0,0
1,1,Mon,6,50,0,12.0,0
1,1,Mon,7,0,0,12.0,0
1,1,Mon,7,10,0,12.0,0
1,1,Mon,7,20,0,12.0,0
1,1,Mon,7,30,0,16.0,0
1,1,Mon,7,40,0,16.0,0
1,1,Mon,7,50,0,16.0,0
1,1,Mon,8,0,0,16.0,0
1,1,Mon,8,10,0,20.0,0
1,1,Mon,8,20,0,20.0,0
1,1,Mon,8,30,0,20.0,0
1,1,Mon,8,40,0,29.62962963,0
1,1,Mon,8,50,0,29.62962963,0
1,1,Mon,9,0,0,29.62962963,0
1,1,Mon,9,10,0,29.62962963,0
1,1,Mon,9,20,0,25.92592593,0
1,1,Mon,9,30,0,29.62962963,0
1,1,Mon,9,40,0,33.33333333,0
1,1,Mon,9,50,0,33.33333333,0
1,1,Mon,10,0,0,29.62962963,0
1,1,Mon,10,10,0,29.62962963,0
1,1,Mon,10,20,0,33.33333333,0
1,1,Mon,10,30,0,33.33333333,0
1,1,Mon,10,40,0,35.71428571,0
1,1,Mon,10,50,0,42.85714286,0
1,1,Mon,11,0,0,46.66666667,1
1,1,Mon,11,10,0,46.66666667,1
1,1,Mon,11,20,0,46.42857143,1
1,1,Mon,11,30,0,53.33333333,1
1,1,Mon,11,40,0,55.17241379,1
1,1,Mon,11,50,0,56.66666667,1
1,1,Mon,12,0,0,55.17241379,1
1,1,Mon,12,10,0,62.06896552,1
1,1,Mon,12,20,0,55.17241379,1
1,1,Mon,12,30,0,58.62068966,1
1,1,Mon,12,40,0,65.51724138,1
1,1,Mon,12,50,0,58.62068966,1
1,1,Mon,13,0,0,55.17241379,1
1,1,Mon,13,10,0,55.17241379,1
1,1,Mon,13,20,0,58.62068966,1
1,1,Mon,13,30,0,56.66666667,1
1,1,Mon,13,40,0,62.06896552,1
1,1,Mon,13,50,0,65.51724138,1
1,1,Mon,14,0,0,60.0,1
1,1,Mon,14,10,0,60.0,1
1,1,Mon,14,20,0,62.06896552,1
1,1,Mon,14,30,0,62.06896552,1
