Date,Month,Hours,Minutes,Intensity,Congested
1,1,0,15,192.0,1
1,1,0,30,135.0,0
1,1,0,45,152.0,0
1,1,1,0,152.0,0
1,1,1,15,152.0,0
1,1,1,30,152.0,0
1,1,1,45,152.0,0
1,1,2,0,152.0,0
1,1,2,15,152.0,0
1,1,2,30,152.0,0
1,1,2,45,152.0,0
1,1,3,0,152.0,0
1,1,3,15,152.0,0
1,1,3,30,152.0,0
1,1,3,45,152.0,0
1,1,4,0,154.0,0
1,1,4,15,152.0,0
1,1,4,30,152.0,0
1,1,4,45,152.0,0
1,1,5,0,152.0,0
1,1,5,15,152.0,0
1,1,5,30,152.0,0
1,1,5,45,152.0,0
1,1,6,0,152.0,0
1,1,6,15,152.0,0
1,1,6,30,152.0,0
1,1,6,45,152.0,0
1,1,7,0,152.0,0
1,1,7,15,152.0,0
1,1,7,30,153.0,0
1,1,7,45,154.0,0
1,1,8,0,156.0,0
1,1,8,15,164.0,0
1,1,8,30,168.0,0
1,1,8,45,170.0,0
1,1,9,0,181.0,0
1,1,9,15,181.0,0
1,1,9,30,180.0,0
1,1,9,45,188.0,0
1,1,10,0,182.0,0
1,1,10,15,183.0,0
1,1,10,30,183.0,0
1,1,10,45,183.0,0
1,1,11,0,183.0,0
1,1,11,15,183.0,0
1,1,11,30,183.0,0
1,1,11,45,183.0,0
1,1,12,0,184.0,0
1,1,12,15,185.0,0
1,1,12,30,186.0,0
1,1,12,45,185.0,0
1,1,13,0,184.0,0
1,1,13,15,188.0,0
1,1,13,30,185.0,0
1,1,13,45,189.0,0
1,1,14,0,188.0,0
1,1,14,15,190.0,0
1,1,14,30,190.0,0
1,1,14,45,199.0,1
1,1,15,0,201.0,1
1,1,15,15,198.0,1
1,1,15,30,194.0,1
1,1,15,45,196.0,1
1,1,16,0,197.0,1
1,1,16,15,190.0,0
1,1,16,30,194.0,1
1,1,16,45,203.0,1
1,1,17,0,201.0,1
1,1,17,15,200.0,1
1,1,17,30,196.0,1
1,1,17,45,199.0,1
1,1,18,0,199.0,1
1,1,18,15,205.0,1
1,1,18,30,197.0,1
1,1,18,45,196.0,1
1,1,19,0,199.0,1
1,1,19,15,199.0,1
1,1,19,30,200.0,1
1,1,19,45,200.0,1
1,1,20,0,201.0,1
1,1,20,15,200.0,1
1,1,20,30,201.0,1
1,1,20,45,195.0,1
1,1,21,0,192.0,1
1,1,21,15,184.0,0
1,1,21,30,186.0,0
1,1,21,45,184.0,0
1,1,22,0,174.0,0
1,1,22,15,170.0,0
1,1,22,30,170.0,0
1,1,22,45,172.0,0
1,1,23,0,170.0,0
1,1,23,15,170.0,0
1,1,23,30,170.0,0
1,1,23,45,170.0,0
2,1,0,0,161.0,0
2,1,0,15,154.0,0
2,1,0,30,152.0,0
2,1,0,45,152.0,0
2,1,1,0,152.0,0
2,1,1,15,152.0,0
2,1,1,30,152.0,0
2,1,1,45,152.0,0
2,1,2,0,152.0,0
2,1,2,15,152.0,0
