Date,Month,Hours,Minutes,Intensity,Congested
1,1,0,15,221.0,0
1,1,0,30,192.0,0
1,1,0,45,192.0,0
1,1,1,0,192.0,0
1,1,1,15,192.0,0
1,1,1,30,192.0,0
1,1,1,45,192.0,0
1,1,2,0,192.0,0
1,1,2,15,192.0,0
1,1,2,30,192.0,0
1,1,2,45,192.0,0
1,1,3,0,192.0,0
1,1,3,15,192.0,0
1,1,3,30,192.0,0
1,1,3,45,192.0,0
1,1,4,0,192.0,0
1,1,4,15,192.0,0
1,1,4,30,192.0,0
1,1,4,45,192.0,0
1,1,5,0,192.0,0
1,1,5,15,192.0,0
1,1,5,30,192.0,0
1,1,5,45,192.0,0
1,1,6,0,192.0,0
1,1,6,15,192.0,0
1,1,6,30,192.0,0
1,1,6,45,192.0,0
1,1,7,0,192.0,0
1,1,7,15,192.0,0
1,1,7,30,192.0,0
1,1,7,45,198.0,0
1,1,8,0,224.0,0
1,1,8,15,225.0,0
1,1,8,30,225.0,0
1,1,8,45,228.0,0
1,1,9,0,225.0,0
1,1,9,15,223.0,0
1,1,9,30,220.0,0
1,1,9,45,210.0,0
1,1,10,0,214.0,0
1,1,10,15,216.0,0
1,1,10,30,226.0,0
1,1,10,45,226.0,0
1,1,11,0,230.0,0
1,1,11,15,232.0,0
1,1,11,30,232.0,0
1,1,11,45,232.0,0
1,1,12,0,235.0,0
1,1,12,15,235.0,0
1,1,12,30,238.0,1
1,1,12,45,235.0,0
1,1,13,0,235.0,0
1,1,13,15,243.0,1
1,1,13,30,244.0,1
1,1,13,45,243.0,1
1,1,14,0,241.0,1
1,1,14,15,243.0,1
1,1,14,30,248.0,1
1,1,14,45,247.0,1
1,1,15,0,247.0,1
1,1,15,15,235.0,0
1,1,15,30,235.0,0
1,1,15,45,235.0,0
1,1,16,0,235.0,0
1,1,16,15,235.0,0
1,1,16,30,235.0,0
1,1,16,45,235.0,0
1,1,17,0,235.0,0
1,1,17,15,235.0,0
1,1,17,30,235.0,0
1,1,17,45,243.0,1
1,1,18,0,235.0,0
1,1,18,15,235.0,0
1,1,18,30,233.0,0
1,1,18,45,233.0,0
1,1,19,0,232.0,0
1,1,19,15,230.0,0
1,1,19,30,235.0,0
1,1,19,45,233.0,0
1,1,20,0,235.0,0
1,1,20,15,233.0,0
1,1,20,30,236.0,0
1,1,20,45,238.0,1
1,1,21,0,238.0,1
1,1,21,15,235.0,0
1,1,21,30,235.0,0
1,1,21,45,230.0,0
1,1,22,0,221.0,0
1,1,22,15,209.0,0
1,1,22,30,220.0,0
1,1,22,45,224.0,0
1,1,23,0,228.0,0
1,1,23,15,217.0,0
1,1,23,30,210.0,0
1,1,23,45,213.0,0
2,1,0,0,193.0,0
2,1,0,15,192.0,0
2,1,0,30,192.0,0
2,1,0,45,192.0,0
