Date,Month,Day,Hours,Minutes,Weekend ,Intensity
2,10,Sun,19,30,0,321
2,10,Sun,19,45,0,321
2,10,Sun,20,0,0,326
2,10,Sun,20,15,0,314
2,10,Sun,20,30,0,316
2,10,Sun,20,45,0,330
2,10,Sun,21,0,0,321
2,10,Sun,21,15,0,316
2,10,Sun,21,30,0,313
2,10,Sun,21,45,0,310
2,10,Sun,22,0,0,309
2,10,Sun,22,15,0,297
2,10,Sun,22,30,0,304
2,10,Sun,22,45,0,288
2,10,Sun,23,0,0,285
2,10,Sun,23,15,0,280
2,10,Sun,23,30,0,275
2,10,Sun,23,45,0,269
3,10,Mon,0,0,0,258
3,10,Mon,0,15,0,249
3,10,Mon,0,30,0,239
3,10,Mon,0,45,0,220
3,10,Mon,1,0,0,213
3,10,Mon,1,15,0,197
3,10,Mon,1,30,0,193
3,10,Mon,1,45,0,174
3,10,Mon,2,0,0,173
3,10,Mon,2,15,0,157
3,10,Mon,2,30,0,161
3,10,Mon,2,45,0,151
3,10,Mon,3,0,0,153
3,10,Mon,3,15,0,144
3,10,Mon,3,30,0,144
3,10,Mon,3,45,0,145
3,10,Mon,4,0,0,138
3,10,Mon,4,15,0,148
3,10,Mon,4,30,0,153
3,10,Mon,4,45,0,165
3,10,Mon,5,0,0,168
3,10,Mon,5,15,0,181
3,10,Mon,5,30,0,179
3,10,Mon,5,45,0,198
3,10,Mon,6,0,0,201
3,10,Mon,6,15,0,211
3,10,Mon,6,30,0,208
3,10,Mon,6,45,0,225
3,10,Mon,7,0,0,233
3,10,Mon,7,15,0,249
3,10,Mon,7,30,0,262
3,10,Mon,7,45,0,263
3,10,Mon,8,0,0,270
3,10,Mon,8,15,0,270
3,10,Mon,8,30,0,271
3,10,Mon,8,45,0,271
3,10,Mon,9,0,0,267
3,10,Mon,9,15,0,277
3,10,Mon,9,30,0,270
3,10,Mon,9,45,0,262
3,10,Mon,10,0,0,261
3,10,Mon,10,15,0,268
3,10,Mon,10,30,0,269
3,10,Mon,10,45,0,275
3,10,Mon,11,0,0,275
3,10,Mon,11,15,0,279
3,10,Mon,11,30,0,281
3,10,Mon,11,45,0,289
3,10,Mon,12,0,0,288
3,10,Mon,12,15,0,292
3,10,Mon,12,30,0,288
3,10,Mon,12,45,0,285
3,10,Mon,13,0,0,280
3,10,Mon,13,15,0,276
3,10,Mon,13,30,0,269
3,10,Mon,13,45,0,267
3,10,Mon,14,0,0,275
3,10,Mon,14,15,0,272
3,10,Mon,14,30,0,278
3,10,Mon,14,45,0,264
3,10,Mon,15,0,0,263
3,10,Mon,15,15,0,269
3,10,Mon,15,30,0,273
3,10,Mon,15,45,0,277
3,10,Mon,16,0,0,273
3,10,Mon,16,15,0,277
3,10,Mon,16,30,0,275
3,10,Mon,16,45,0,271
3,10,Mon,17,0,0,280
3,10,Mon,17,15,0,290
3,10,Mon,17,30,0,297
3,10,Mon,17,45,0,304
3,10,Mon,18,0,0,310
3,10,Mon,18,15,0,308
3,10,Mon,18,30,0,309
3,10,Mon,18,45,0,312
3,10,Mon,19,0,0,315
3,10,Mon,19,15,0,318
3,10,Mon,19,30,0,324
3,10,Mon,19,45,0,327
3,10,Mon,20,0,0,326
3,10,Mon,20,15,0,329
3,10,Mon,20,30,0,325
3,10,Mon,20,45,0,320
3,10,Mon,21,0,0,314
3,10,Mon,21,15,0,308
3,10,Mon,21,30,0,315
3,10,Mon,21,45,0,312
3,10,Mon,22,0,0,307
3,10,Mon,22,15,0,303
3,10,Mon,22,30,0,299
3,10,Mon,22,45,0,290
3,10,Mon,23,0,0,287
3,10,Mon,23,15,0,283
3,10,Mon,23,30,0,277
3,10,Mon,23,45,0,264
4,10,Tue,0,0,0,255
4,10,Tue,0,15,0,242
4,10,Tue,0,30,0,235
4,10,Tue,0,45,0,216
4,10,Tue,1,0,0,210
4,10,Tue,1,15,0,205
4,10,Tue,1,30,0,204
4,10,Tue,1,45,0,187
4,10,Tue,2,0,0,188
4,10,Tue,2,15,0,183
4,10,Tue,2,30,0,173
4,10,Tue,2,45,0,166
4,10,Tue,3,0,0,172
4,10,Tue,3,15,0,165
4,10,Tue,3,30,0,170
4,10,Tue,3,45,0,151
4,10,Tue,4,0,0,151
4,10,Tue,4,15,0,155
4,10,Tue,4,30,0,156
4,10,Tue,4,45,0,161
4,10,Tue,5,0,0,177
4,10,Tue,5,15,0,202
4,10,Tue,5,30,0,205
4,10,Tue,5,45,0,198
4,10,Tue,6,0,0,199
4,10,Tue,6,15,0,209
4,10,Tue,6,30,0,213
4,10,Tue,6,45,0,226
4,10,Tue,7,0,0,225
4,10,Tue,7,15,0,242
4,10,Tue,7,30,0,259
4,10,Tue,7,45,0,266
4,10,Tue,8,0,0,273
4,10,Tue,8,15,0,272
4,10,Tue,8,30,0,267
4,10,Tue,8,45,0,267
4,10,Tue,9,0,0,268
4,10,Tue,9,15,0,270
4,10,Tue,9,30,0,262
4,10,Tue,9,45,0,263
4,10,Tue,10,0,0,265
4,10,Tue,10,15,0,271
4,10,Tue,10,30,0,270
4,10,Tue,10,45,0,274
4,10,Tue,11,0,0,272
4,10,Tue,11,15,0,280
4,10,Tue,11,30,0,279
4,10,Tue,11,45,0,282
4,10,Tue,12,0,0,287
4,10,Tue,12,15,0,289
4,10,Tue,12,30,0,290
4,10,Tue,12,45,0,286
4,10,Tue,13,0,0,278
4,10,Tue,13,15,0,279
4,10,Tue,13,30,0,275
4,10,Tue,13,45,0,273
4,10,Tue,14,0,0,266
4,10,Tue,14,15,0,269
4,10,Tue,14,30,0,273
4,10,Tue,14,45,0,279
4,10,Tue,15,0,0,274
4,10,Tue,15,15,0,272
4,10,Tue,15,30,0,276
4,10,Tue,15,45,0,275
4,10,Tue,16,0,0,271
4,10,Tue,16,15,0,276
4,10,Tue,16,30,0,271
4,10,Tue,16,45,0,277
4,10,Tue,17,0,0,281
4,10,Tue,17,15,0,285
4,10,Tue,17,30,0,303
4,10,Tue,17,45,0,313
4,10,Tue,18,0,0,309
4,10,Tue,18,15,0,316
4,10,Tue,18,30,0,315
4,10,Tue,18,45,0,324
4,10,Tue,19,0,0,320
4,10,Tue,19,15,0,323
4,10,Tue,19,30,0,324
4,10,Tue,19,45,0,327
4,10,Tue,20,0,0,329
4,10,Tue,20,15,0,332
4,10,Tue,20,30,0,329
4,10,Tue,20,45,0,326
4,10,Tue,21,0,0,321
4,10,Tue,21,15,0,319
4,10,Tue,21,30,0,318
4,10,Tue,21,45,0,304
4,10,Tue,22,0,0,298
4,10,Tue,22,15,0,296
4,10,Tue,22,30,0,291
4,10,Tue,22,45,0,288
4,10,Tue,23,0,0,280
4,10,Tue,23,15,0,277
4,10,Tue,23,30,0,271
4,10,Tue,23,45,0,264
5,10,Wed,0,0,0,270
5,10,Wed,0,15,0,244
5,10,Wed,0,30,0,241
5,10,Wed,0,45,0,221
5,10,Wed,1,0,0,215
5,10,Wed,1,15,0,207
5,10,Wed,1,30,0,206
5,10,Wed,1,45,0,191
5,10,Wed,2,0,0,187
5,10,Wed,2,15,0,177
5,10,Wed,2,30,0,182
5,10,Wed,2,45,0,170
5,10,Wed,3,0,0,172
5,10,Wed,3,15,0,156
5,10,Wed,3,30,0,148
5,10,Wed,3,45,0,153
5,10,Wed,4,0,0,154
5,10,Wed,4,15,0,158
5,10,Wed,4,30,0,155
5,10,Wed,4,45,0,163
5,10,Wed,5,0,0,164
5,10,Wed,5,15,0,177
5,10,Wed,5,30,0,182
5,10,Wed,5,45,0,195
5,10,Wed,6,0,0,196
5,10,Wed,6,15,0,213
5,10,Wed,6,30,0,221
5,10,Wed,6,45,0,223
5,10,Wed,7,0,0,227
5,10,Wed,7,15,0,242
5,10,Wed,7,30,0,247
5,10,Wed,7,45,0,259
5,10,Wed,8,0,0,265
5,10,Wed,8,15,0,275
5,10,Wed,8,30,0,267
5,10,Wed,8,45,0,267
5,10,Wed,9,0,0,270
5,10,Wed,9,15,0,268
5,10,Wed,9,30,0,270
5,10,Wed,9,45,0,270
5,10,Wed,10,0,0,269
5,10,Wed,10,15,0,267
5,10,Wed,10,30,0,273
5,10,Wed,10,45,0,275
5,10,Wed,11,0,0,277
5,10,Wed,11,15,0,290
5,10,Wed,11,30,0,287
5,10,Wed,11,45,0,289
5,10,Wed,12,0,0,286
5,10,Wed,12,15,0,287
5,10,Wed,12,30,0,276
5,10,Wed,12,45,0,279
5,10,Wed,13,0,0,279
5,10,Wed,13,15,0,278
5,10,Wed,13,30,0,279
5,10,Wed,13,45,0,265
5,10,Wed,14,0,0,277
5,10,Wed,14,15,0,269
5,10,Wed,14,30,0,272
5,10,Wed,14,45,0,279
5,10,Wed,15,0,0,280
5,10,Wed,15,15,0,273
5,10,Wed,15,30,0,272
5,10,Wed,15,45,0,271
5,10,Wed,16,0,0,270
5,10,Wed,16,15,0,271
5,10,Wed,16,30,0,273
5,10,Wed,16,45,0,272
5,10,Wed,17,0,0,287
5,10,Wed,17,15,0,289
5,10,Wed,17,30,0,300
5,10,Wed,17,45,0,299
5,10,Wed,18,0,0,305
5,10,Wed,18,15,0,312
5,10,Wed,18,30,0,314
5,10,Wed,18,45,0,308
5,10,Wed,19,0,0,307
5,10,Wed,19,15,0,312
5,10,Wed,19,30,0,320
5,10,Wed,19,45,0,330
5,10,Wed,20,0,0,322
5,10,Wed,20,15,0,323
5,10,Wed,20,30,0,318
5,10,Wed,20,45,0,308
5,10,Wed,21,0,0,314
5,10,Wed,21,15,0,306
5,10,Wed,21,30,0,312
5,10,Wed,21,45,0,300
5,10,Wed,22,0,0,304
5,10,Wed,22,15,0,301
5,10,Wed,22,30,0,300
5,10,Wed,22,45,0,294
5,10,Wed,23,0,0,290
5,10,Wed,23,15,0,284
5,10,Wed,23,30,0,278
5,10,Wed,23,45,0,279
6,10,Thu,0,0,0,270
6,10,Thu,0,15,0,253
6,10,Thu,0,30,0,248
6,10,Thu,0,45,0,228
6,10,Thu,1,0,0,225
6,10,Thu,1,15,0,204
6,10,Thu,1,30,0,202
6,10,Thu,1,45,0,196
6,10,Thu,2,0,0,193
6,10,Thu,2,15,0,182
6,10,Thu,2,30,0,186
6,10,Thu,2,45,0,177
6,10,Thu,3,0,0,173
6,10,Thu,3,15,0,153
6,10,Thu,3,30,0,150
6,10,Thu,3,45,0,151
6,10,Thu,4,0,0,155
6,10,Thu,4,15,0,168
6,10,Thu,4,30,0,164
6,10,Thu,4,45,0,155
6,10,Thu,5,0,0,161
6,10,Thu,5,15,0,180
6,10,Thu,5,30,0,181
6,10,Thu,5,45,0,184
6,10,Thu,6,0,0,189
6,10,Thu,6,15,0,215
6,10,Thu,6,30,0,213
6,10,Thu,6,45,0,228
6,10,Thu,7,0,0,231
6,10,Thu,7,15,0,240
6,10,Thu,7,30,0,252
6,10,Thu,7,45,0,264
6,10,Thu,8,0,0,274
6,10,Thu,8,15,0,277
6,10,Thu,8,30,0,271
6,10,Thu,8,45,0,271
6,10,Thu,9,0,0,276
6,10,Thu,9,15,0,266
6,10,Thu,9,30,0,260
6,10,Thu,9,45,0,264
6,10,Thu,10,0,0,262
6,10,Thu,10,15,0,259
6,10,Thu,10,30,0,267
6,10,Thu,10,45,0,271
6,10,Thu,11,0,0,273
6,10,Thu,11,15,0,283
6,10,Thu,11,30,0,274
6,10,Thu,11,45,0,282
6,10,Thu,12,0,0,286
6,10,Thu,12,15,0,275
6,10,Thu,12,30,0,283
6,10,Thu,12,45,0,278
6,10,Thu,13,0,0,279
6,10,Thu,13,15,0,275
6,10,Thu,13,30,0,270
6,10,Thu,13,45,0,273
6,10,Thu,14,0,0,275
6,10,Thu,14,15,0,270
6,10,Thu,14,30,0,269
6,10,Thu,14,45,0,276
6,10,Thu,15,0,0,281
6,10,Thu,15,15,0,280
6,10,Thu,15,30,0,281
6,10,Thu,15,45,0,274
6,10,Thu,16,0,0,276
6,10,Thu,16,15,0,274
6,10,Thu,16,30,0,282
6,10,Thu,16,45,0,290
6,10,Thu,17,0,0,291
6,10,Thu,17,15,0,302
6,10,Thu,17,30,0,307
6,10,Thu,17,45,0,310
6,10,Thu,18,0,0,313
6,10,Thu,18,15,0,310
6,10,Thu,18,30,0,312
6,10,Thu,18,45,0,314
6,10,Thu,19,0,0,318
6,10,Thu,19,15,0,322
6,10,Thu,19,30,0,327
6,10,Thu,19,45,0,331
6,10,Thu,20,0,0,331
6,10,Thu,20,15,0,334
6,10,Thu,20,30,0,336
6,10,Thu,20,45,0,318
6,10,Thu,21,0,0,312
