Date,Month,Hours,Minutes,Intensity,Congested
1,1,0,15,114.0,0
1,1,0,30,115.0,0
1,1,0,45,114.0,0
1,1,1,0,114.0,0
1,1,1,15,114.0,0
1,1,1,30,114.0,0
1,1,1,45,114.0,0
1,1,2,0,114.0,0
1,1,2,15,114.0,0
1,1,2,30,114.0,0
1,1,2,45,114.0,0
1,1,3,0,115.0,0
1,1,3,15,114.0,0
1,1,3,30,114.0,0
1,1,3,45,114.0,0
1,1,4,0,114.0,0
1,1,4,15,114.0,0
1,1,4,30,114.0,0
1,1,4,45,114.0,0
1,1,5,0,114.0,0
1,1,5,15,114.0,0
1,1,5,30,116.0,0
1,1,5,45,114.0,0
1,1,6,0,117.0,0
1,1,6,15,114.0,0
1,1,6,30,114.0,0
1,1,6,45,114.0,0
1,1,7,0,114.0,0
1,1,7,15,116.0,0
1,1,7,30,130.0,0
1,1,7,45,135.0,0
1,1,8,0,138.0,0
1,1,8,15,144.0,0
1,1,8,30,158.0,1
1,1,8,45,178.0,1
1,1,9,0,181.0,1
1,1,9,15,198.0,1
1,1,9,30,189.0,1
1,1,9,45,176.0,1
1,1,10,0,167.0,1
1,1,10,15,184.0,1
1,1,10,30,168.0,1
1,1,10,45,173.0,1
1,1,11,0,164.0,1
1,1,11,15,165.0,1
1,1,11,30,172.0,1
1,1,11,45,166.0,1
1,1,12,0,160.0,1
1,1,12,15,171.0,1
1,1,12,30,174.0,1
1,1,12,45,184.0,1
1,1,13,0,171.0,1
1,1,13,15,174.0,1
1,1,13,30,170.0,1
1,1,13,45,170.0,1
1,1,14,0,167.0,1
1,1,14,15,173.0,1
1,1,14,30,184.0,1
1,1,14,45,196.0,1
1,1,15,0,178.0,1
1,1,15,15,195.0,1
1,1,15,30,183.0,1
1,1,15,45,167.0,1
1,1,16,0,173.0,1
1,1,16,15,162.0,1
1,1,16,30,176.0,1
1,1,16,45,210.0,1
1,1,17,0,194.0,1
1,1,17,15,188.0,1
1,1,17,30,182.0,1
1,1,17,45,186.0,1
1,1,18,0,180.0,1
1,1,18,15,184.0,1
1,1,18,30,177.0,1
1,1,18,45,177.0,1
1,1,19,0,154.0,0
1,1,19,15,149.0,0
1,1,19,30,153.0,0
1,1,19,45,134.0,0
1,1,20,0,134.0,0
1,1,20,15,130.0,0
1,1,20,30,133.0,0
1,1,20,45,133.0,0
1,1,21,0,129.0,0
1,1,21,15,125.0,0
1,1,21,30,125.0,0
1,1,21,45,124.0,0
1,1,22,0,117.0,0
1,1,22,15,125.0,0
1,1,22,30,117.0,0
1,1,22,45,129.0,0
1,1,23,0,119.0,0
1,1,23,15,128.0,0
1,1,23,30,126.0,0
1,1,23,45,124.0,0
2,1,0,0,115.0,0
2,1,0,15,115.0,0
2,1,0,30,115.0,0
2,1,0,45,114.0,0
2,1,1,0,114.0,0
2,1,1,15,114.0,0
2,1,1,30,114.0,0
2,1,1,45,114.0,0
2,1,2,0,114.0,0
2,1,2,15,114.0,0
2,1,2,30,114.0,0
2,1,2,45,114.0,0
2,1,3,0,115.0,0
2,1,3,15,115.0,0
2,1,3,30,116.0,0
2,1,3,45,116.0,0
2,1,4,0,114.0,0
2,1,4,15,114.0,0
2,1,4,30,116.0,0
2,1,4,45,116.0,0
2,1,5,0,119.0,0
2,1,5,15,116.0,0
2,1,5,30,114.0,0
2,1,5,45,114.0,0
2,1,6,0,114.0,0
2,1,6,15,114.0,0
2,1,6,30,114.0,0
2,1,6,45,114.0,0
2,1,7,0,116.0,0
2,1,7,15,116.0,0
2,1,7,30,117.0,0
2,1,7,45,134.0,0
2,1,8,0,139.0,0
2,1,8,15,138.0,0
2,1,8,30,145.0,0
2,1,8,45,165.0,1
2,1,9,0,114.0,0
2,1,9,15,192.0,1
2,1,9,30,190.0,1
2,1,9,45,177.0,1
2,1,10,0,170.0,1
2,1,10,15,179.0,1
2,1,10,30,157.0,0
2,1,10,45,162.0,1
2,1,11,0,169.0,1
2,1,11,15,177.0,1
2,1,11,30,155.0,0
2,1,11,45,163.0,1
2,1,12,0,157.0,0
2,1,12,15,161.0,1
2,1,12,30,157.0,0
2,1,12,45,172.0,1
2,1,13,0,166.0,1
2,1,13,15,165.0,1
2,1,13,30,163.0,1
2,1,13,45,178.0,1
2,1,14,0,166.0,1
2,1,14,15,165.0,1
2,1,14,30,195.0,1
2,1,14,45,190.0,1
2,1,15,0,175.0,1
2,1,15,15,164.0,1
2,1,15,30,180.0,1
2,1,15,45,170.0,1
2,1,16,0,163.0,1
2,1,16,15,146.0,0
2,1,16,30,181.0,1
2,1,16,45,183.0,1
2,1,17,0,190.0,1
2,1,17,15,184.0,1
2,1,17,30,187.0,1
2,1,17,45,180.0,1
2,1,18,0,178.0,1
2,1,18,15,174.0,1
2,1,18,30,170.0,1
2,1,18,45,153.0,0
2,1,19,0,149.0,0
2,1,19,15,137.0,0
2,1,19,30,170.0,1
2,1,19,45,140.0,0
2,1,20,0,144.0,0
2,1,20,15,134.0,0
2,1,20,30,142.0,0
2,1,20,45,135.0,0
2,1,21,0,135.0,0
2,1,21,15,128.0,0
2,1,21,30,125.0,0
2,1,21,45,119.0,0
2,1,22,0,119.0,0
2,1,22,15,117.0,0
2,1,22,30,116.0,0
2,1,22,45,116.0,0
2,1,23,0,116.0,0
2,1,23,15,116.0,0
2,1,23,30,116.0,0
2,1,23,45,117.0,0
3,1,0,0,115.0,0
3,1,0,15,115.0,0
3,1,0,30,114.0,0
3,1,0,45,114.0,0
3,1,1,0,114.0,0
3,1,1,15,114.0,0
3,1,1,30,114.0,0
3,1,1,45,114.0,0
3,1,2,0,114.0,0
3,1,2,15,116.0,0
3,1,2,30,114.0,0
3,1,2,45,114.0,0
3,1,3,0,114.0,0
3,1,3,15,114.0,0
3,1,3,30,114.0,0
3,1,3,45,114.0,0
3,1,4,0,114.0,0
3,1,4,15,114.0,0
3,1,4,30,114.0,0
3,1,4,45,114.0,0
3,1,5,0,116.0,0
3,1,5,15,114.0,0
3,1,5,30,117.0,0
3,1,5,45,118.0,0
3,1,6,0,117.0,0
3,1,6,15,114.0,0
3,1,6,30,114.0,0
3,1,6,45,114.0,0
3,1,7,0,119.0,0
3,1,7,15,116.0,0
3,1,7,30,129.0,0
3,1,7,45,135.0,0
3,1,8,0,140.0,0
3,1,8,15,141.0,0
3,1,8,30,148.0,0
3,1,8,45,165.0,1
3,1,9,0,184.0,1
3,1,9,15,115.0,0
