Date,Month,Day,Hours,Minutes,Weekend ,Intensity
2,10,Sun,14,30,0,328
2,10,Sun,14,45,0,325
2,10,Sun,15,0,0,334
2,10,Sun,15,15,0,321
2,10,Sun,15,30,0,317
2,10,Sun,15,45,0,318
2,10,Sun,16,0,0,314
2,10,Sun,16,15,0,318
2,10,Sun,16,30,0,318
2,10,Sun,16,45,0,317
2,10,Sun,17,0,0,316
2,10,Sun,17,15,0,334
2,10,Sun,17,30,0,345
2,10,Sun,17,45,0,355
2,10,Sun,18,0,0,362
2,10,Sun,18,15,0,359
2,10,Sun,18,30,0,369
2,10,Sun,18,45,0,375
2,10,Sun,19,0,0,380
2,10,Sun,19,15,0,383
2,10,Sun,19,30,0,388
2,10,Sun,19,45,0,394
2,10,Sun,20,0,0,390
2,10,Sun,20,15,0,374
2,10,Sun,20,30,0,370
2,10,Sun,20,45,0,364
2,10,Sun,21,0,0,360
2,10,Sun,21,15,0,347
2,10,Sun,21,30,0,325
2,10,Sun,21,45,0,324
2,10,Sun,22,0,0,313
2,10,Sun,22,15,0,298
2,10,Sun,22,30,0,287
2,10,Sun,22,45,0,271
2,10,Sun,23,0,0,259
2,10,Sun,23,15,0,258
2,10,Sun,23,30,0,258
2,10,Sun,23,45,0,254
3,10,Mon,0,0,0,240
3,10,Mon,0,15,0,227
3,10,Mon,0,30,0,219
3,10,Mon,0,45,0,209
3,10,Mon,1,0,0,210
3,10,Mon,1,15,0,200
3,10,Mon,1,30,0,192
3,10,Mon,1,45,0,186
3,10,Mon,2,0,0,177
3,10,Mon,2,15,0,172
3,10,Mon,2,30,0,162
3,10,Mon,2,45,0,167
3,10,Mon,3,0,0,163
3,10,Mon,3,15,0,134
3,10,Mon,3,30,0,136
3,10,Mon,3,45,0,132
3,10,Mon,4,0,0,124
3,10,Mon,4,15,0,125
3,10,Mon,4,30,0,121
3,10,Mon,4,45,0,125
3,10,Mon,5,0,0,133
3,10,Mon,5,15,0,136
3,10,Mon,5,30,0,149
3,10,Mon,5,45,0,166
3,10,Mon,6,0,0,168
3,10,Mon,6,15,0,189
3,10,Mon,6,30,0,196
3,10,Mon,6,45,0,204
3,10,Mon,7,0,0,209
3,10,Mon,7,15,0,216
3,10,Mon,7,30,0,233
3,10,Mon,7,45,0,262
3,10,Mon,8,0,0,268
3,10,Mon,8,15,0,274
3,10,Mon,8,30,0,294
3,10,Mon,8,45,0,313
3,10,Mon,9,0,0,319
3,10,Mon,9,15,0,312
3,10,Mon,9,30,0,319
3,10,Mon,9,45,0,315
3,10,Mon,10,0,0,325
3,10,Mon,10,15,0,333
3,10,Mon,10,30,0,328
3,10,Mon,10,45,0,335
3,10,Mon,11,0,0,343
3,10,Mon,11,15,0,354
3,10,Mon,11,30,0,349
3,10,Mon,11,45,0,354
3,10,Mon,12,0,0,351
3,10,Mon,12,15,0,367
3,10,Mon,12,30,0,364
3,10,Mon,12,45,0,361
3,10,Mon,13,0,0,359
3,10,Mon,13,15,0,354
3,10,Mon,13,30,0,345
3,10,Mon,13,45,0,347
3,10,Mon,14,0,0,348
3,10,Mon,14,15,0,354
3,10,Mon,14,30,0,353
3,10,Mon,14,45,0,352
3,10,Mon,15,0,0,345
3,10,Mon,15,15,0,332
3,10,Mon,15,30,0,340
3,10,Mon,15,45,0,346
3,10,Mon,16,0,0,334
3,10,Mon,16,15,0,337
3,10,Mon,16,30,0,343
3,10,Mon,16,45,0,335
3,10,Mon,17,0,0,344
3,10,Mon,17,15,0,339
3,10,Mon,17,30,0,349
3,10,Mon,17,45,0,348
3,10,Mon,18,0,0,358
3,10,Mon,18,15,0,372
3,10,Mon,18,30,0,373
3,10,Mon,18,45,0,374
3,10,Mon,19,0,0,375
3,10,Mon,19,15,0,380
