Date,Month,Hours,Minutes,Intensity,Congested
1,1,0,15,97.0,1
1,1,0,30,70.0,0
1,1,0,45,68.0,0
1,1,1,0,67.0,0
1,1,1,15,67.0,0
1,1,1,30,67.0,0
1,1,1,45,67.0,0
1,1,2,0,67.0,0
1,1,2,15,67.0,0
1,1,2,30,67.0,0
1,1,2,45,67.0,0
1,1,3,0,67.0,0
1,1,3,15,67.0,0
1,1,3,30,67.0,0
1,1,3,45,67.0,0
1,1,4,0,67.0,0
1,1,4,15,67.0,0
1,1,4,30,67.0,0
1,1,4,45,67.0,0
1,1,5,0,67.0,0
1,1,5,15,67.0,0
1,1,5,30,67.0,0
1,1,5,45,67.0,0
1,1,6,0,67.0,0
1,1,6,15,72.0,0
1,1,6,30,67.0,0
1,1,6,45,67.0,0
1,1,7,0,67.0,0
1,1,7,15,77.0,0
1,1,7,30,82.0,0
1,1,7,45,77.0,0
1,1,8,0,83.0,0
1,1,8,15,73.0,0
1,1,8,30,74.0,0
1,1,8,45,73.0,0
1,1,9,0,74.0,0
1,1,9,15,85.0,0
1,1,9,30,73.0,0
1,1,9,45,92.0,0
1,1,10,0,82.0,0
1,1,10,15,92.0,0
1,1,10,30,87.0,0
1,1,10,45,87.0,0
1,1,11,0,92.0,0
1,1,11,15,87.0,0
1,1,11,30,83.0,0
1,1,11,45,97.0,1
1,1,12,0,100.0,1
1,1,12,15,92.0,0
1,1,12,30,90.0,0
1,1,12,45,90.0,0
1,1,13,0,104.0,1
1,1,13,15,99.0,1
1,1,13,30,91.0,0
1,1,13,45,100.0,1
1,1,14,0,92.0,0
1,1,14,15,87.0,0
1,1,14,30,83.0,0
1,1,14,45,87.0,0
1,1,15,0,87.0,0
1,1,15,15,87.0,0
1,1,15,30,83.0,0
1,1,15,45,92.0,0
1,1,16,0,87.0,0
1,1,16,15,87.0,0
1,1,16,30,87.0,0
1,1,16,45,87.0,0
1,1,17,0,100.0,1
1,1,17,15,105.0,1
1,1,17,30,98.0,1
1,1,17,45,94.0,0
1,1,18,0,93.0,0
1,1,18,15,87.0,0
1,1,18,30,87.0,0
1,1,18,45,87.0,0
1,1,19,0,97.0,1
1,1,19,15,87.0,0
1,1,19,30,87.0,0
1,1,19,45,100.0,1
1,1,20,0,97.0,1
1,1,20,15,92.0,0
1,1,20,30,97.0,1
1,1,20,45,97.0,1
1,1,21,0,97.0,1
1,1,21,15,93.0,0
1,1,21,30,89.0,0
1,1,21,45,89.0,0
1,1,22,0,88.0,0
1,1,22,15,93.0,0
1,1,22,30,93.0,0
1,1,22,45,84.0,0
1,1,23,0,74.0,0
1,1,23,15,71.0,0
1,1,23,30,70.0,0
1,1,23,45,69.0,0
2,1,0,0,68.0,0
2,1,0,15,72.0,0
2,1,0,30,67.0,0
2,1,0,45,72.0,0
2,1,1,0,67.0,0
2,1,1,15,67.0,0
2,1,1,30,67.0,0
2,1,1,45,67.0,0
2,1,2,0,67.0,0
2,1,2,15,67.0,0
2,1,2,30,67.0,0
2,1,2,45,67.0,0
2,1,3,0,67.0,0
2,1,3,15,67.0,0
2,1,3,30,67.0,0
2,1,3,45,67.0,0
2,1,4,0,77.0,0
2,1,4,15,67.0,0
2,1,4,30,67.0,0
2,1,4,45,67.0,0
2,1,5,0,67.0,0
2,1,5,15,67.0,0
2,1,5,30,71.0,0
2,1,5,45,67.0,0
2,1,6,0,72.0,0
2,1,6,15,72.0,0
2,1,6,30,67.0,0
2,1,6,45,67.0,0
2,1,7,0,77.0,0
2,1,7,15,77.0,0
2,1,7,30,78.0,0
2,1,7,45,84.0,0
2,1,8,0,79.0,0
2,1,8,15,87.0,0
2,1,8,30,100.0,1
2,1,8,45,101.0,1
2,1,9,0,105.0,1
2,1,9,15,105.0,1
2,1,9,30,105.0,1
2,1,9,45,105.0,1
2,1,10,0,108.0,1
2,1,10,15,105.0,1
2,1,10,30,114.0,1
2,1,10,45,105.0,1
2,1,11,0,105.0,1
2,1,11,15,114.0,1
2,1,11,30,108.0,1
2,1,11,45,100.0,1
2,1,12,0,108.0,1
2,1,12,15,100.0,1
2,1,12,30,98.0,1
2,1,12,45,108.0,1
2,1,13,0,114.0,1
2,1,13,15,114.0,1
2,1,13,30,118.0,1
2,1,13,45,118.0,1
2,1,14,0,115.0,1
2,1,14,15,117.0,1
2,1,14,30,95.0,1
2,1,14,45,95.0,1
2,1,15,0,108.0,1
2,1,15,15,96.0,1
2,1,15,30,95.0,1
2,1,15,45,104.0,1
