Date,Month,Hours,Minutes,Intensity,Congested
1,1,0,15,226.0,0
1,1,0,30,184.0,0
1,1,0,45,184.0,0
1,1,1,0,188.0,0
1,1,1,15,184.0,0
1,1,1,30,184.0,0
1,1,1,45,184.0,0
1,1,2,0,186.0,0
1,1,2,15,184.0,0
1,1,2,30,184.0,0
1,1,2,45,184.0,0
1,1,3,0,184.0,0
1,1,3,15,184.0,0
1,1,3,30,184.0,0
1,1,3,45,188.0,0
1,1,4,0,190.0,0
1,1,4,15,185.0,0
1,1,4,30,186.0,0
1,1,4,45,184.0,0
1,1,5,0,184.0,0
1,1,5,15,184.0,0
1,1,5,30,184.0,0
1,1,5,45,184.0,0
1,1,6,0,184.0,0
1,1,6,15,184.0,0
1,1,6,30,184.0,0
1,1,6,45,184.0,0
1,1,7,0,184.0,0
1,1,7,15,184.0,0
1,1,7,30,184.0,0
1,1,7,45,190.0,0
1,1,8,0,205.0,0
1,1,8,15,209.0,0
1,1,8,30,215.0,0
1,1,8,45,219.0,0
1,1,9,0,216.0,0
1,1,9,15,218.0,0
1,1,9,30,208.0,0
1,1,9,45,210.0,0
1,1,10,0,216.0,0
1,1,10,15,223.0,0
1,1,10,30,220.0,0
1,1,10,45,220.0,0
1,1,11,0,221.0,0
1,1,11,15,222.0,0
1,1,11,30,228.0,0
1,1,11,45,235.0,1
1,1,12,0,236.0,1
1,1,12,15,236.0,1
1,1,12,30,236.0,1
1,1,12,45,236.0,1
1,1,13,0,235.0,1
1,1,13,15,233.0,1
1,1,13,30,227.0,0
1,1,13,45,228.0,0
1,1,14,0,228.0,0
1,1,14,15,228.0,0
1,1,14,30,228.0,0
1,1,14,45,228.0,0
1,1,15,0,228.0,0
1,1,15,15,227.0,0
1,1,15,30,225.0,0
1,1,15,45,226.0,0
1,1,16,0,225.0,0
1,1,16,15,224.0,0
1,1,16,30,228.0,0
1,1,16,45,227.0,0
1,1,17,0,231.0,0
1,1,17,15,235.0,1
1,1,17,30,233.0,1
1,1,17,45,233.0,1
1,1,18,0,230.0,0
1,1,18,15,229.0,0
1,1,18,30,229.0,0
1,1,18,45,226.0,0
1,1,19,0,226.0,0
1,1,19,15,222.0,0
1,1,19,30,230.0,0
1,1,19,45,231.0,0
1,1,20,0,231.0,0
1,1,20,15,231.0,0
1,1,20,30,231.0,0
1,1,20,45,233.0,1
1,1,21,0,230.0,0
1,1,21,15,230.0,0
1,1,21,30,226.0,0
1,1,21,45,224.0,0
1,1,22,0,222.0,0
1,1,22,15,222.0,0
1,1,22,30,222.0,0
1,1,22,45,222.0,0
1,1,23,0,222.0,0
1,1,23,15,219.0,0
1,1,23,30,215.0,0
1,1,23,45,206.0,0
2,1,0,0,203.0,0
2,1,0,15,196.0,0
2,1,0,30,187.0,0
2,1,0,45,189.0,0
2,1,1,0,184.0,0
2,1,1,15,184.0,0
2,1,1,30,184.0,0
2,1,1,45,184.0,0
2,1,2,0,184.0,0
2,1,2,15,184.0,0
2,1,2,30,186.0,0
2,1,2,45,186.0,0
2,1,3,0,184.0,0
2,1,3,15,184.0,0
2,1,3,30,184.0,0
2,1,3,45,184.0,0
2,1,4,0,184.0,0
2,1,4,15,185.0,0
2,1,4,30,184.0,0
2,1,4,45,184.0,0
2,1,5,0,184.0,0
2,1,5,15,184.0,0
2,1,5,30,184.0,0
2,1,5,45,184.0,0
2,1,6,0,184.0,0
2,1,6,15,184.0,0
2,1,6,30,184.0,0
2,1,6,45,184.0,0
2,1,7,0,184.0,0
2,1,7,15,184.0,0
2,1,7,30,184.0,0
2,1,7,45,191.0,0
2,1,8,0,204.0,0
2,1,8,15,205.0,0
2,1,8,30,215.0,0
2,1,8,45,217.0,0
2,1,9,0,213.0,0
2,1,9,15,209.0,0
2,1,9,30,221.0,0
2,1,9,45,218.0,0
2,1,10,0,215.0,0
2,1,10,15,218.0,0
2,1,10,30,218.0,0
2,1,10,45,221.0,0
2,1,11,0,221.0,0
2,1,11,15,215.0,0
2,1,11,30,222.0,0
2,1,11,45,225.0,0
2,1,12,0,228.0,0
2,1,12,15,226.0,0
2,1,12,30,227.0,0
2,1,12,45,225.0,0
2,1,13,0,226.0,0
2,1,13,15,223.0,0
2,1,13,30,225.0,0
2,1,13,45,220.0,0
2,1,14,0,223.0,0
