Date,Month,Hours,Minutes,Intensity,Congested
1,1,0,15,132.0,0
1,1,0,30,111.0,0
1,1,0,45,110.0,0
1,1,1,0,110.0,0
1,1,1,15,110.0,0
1,1,1,30,110.0,0
1,1,1,45,110.0,0
1,1,2,0,110.0,0
1,1,2,15,110.0,0
1,1,2,30,110.0,0
1,1,2,45,110.0,0
1,1,3,0,110.0,0
1,1,3,15,110.0,0
1,1,3,30,110.0,0
1,1,3,45,110.0,0
1,1,4,0,110.0,0
1,1,4,15,110.0,0
1,1,4,30,110.0,0
1,1,4,45,110.0,0
1,1,5,0,110.0,0
1,1,5,15,110.0,0
1,1,5,30,110.0,0
1,1,5,45,110.0,0
1,1,6,0,110.0,0
1,1,6,15,110.0,0
1,1,6,30,110.0,0
1,1,6,45,110.0,0
1,1,7,0,112.0,0
1,1,7,15,112.0,0
1,1,7,30,119.0,0
1,1,7,45,120.0,0
1,1,8,0,123.0,0
1,1,8,15,123.0,0
1,1,8,30,123.0,0
1,1,8,45,121.0,0
1,1,9,0,133.0,0
1,1,9,15,135.0,1
1,1,9,30,130.0,0
1,1,9,45,134.0,1
1,1,10,0,133.0,0
1,1,10,15,136.0,1
1,1,10,30,136.0,1
1,1,10,45,132.0,0
1,1,11,0,128.0,0
1,1,11,15,135.0,1
1,1,11,30,128.0,0
1,1,11,45,130.0,0
1,1,12,0,130.0,0
1,1,12,15,126.0,0
1,1,12,30,127.0,0
1,1,12,45,124.0,0
1,1,13,0,121.0,0
1,1,13,15,127.0,0
1,1,13,30,129.0,0
1,1,13,45,126.0,0
1,1,14,0,132.0,0
1,1,14,15,132.0,0
1,1,14,30,132.0,0
1,1,14,45,132.0,0
1,1,15,0,136.0,1
1,1,15,15,132.0,0
1,1,15,30,143.0,1
1,1,15,45,132.0,0
1,1,16,0,137.0,1
1,1,16,15,133.0,0
1,1,16,30,131.0,0
1,1,16,45,134.0,1
1,1,17,0,133.0,0
1,1,17,15,137.0,1
1,1,17,30,138.0,1
1,1,17,45,136.0,1
1,1,18,0,136.0,1
1,1,18,15,132.0,0
1,1,18,30,138.0,1
1,1,18,45,139.0,1
1,1,19,0,134.0,1
1,1,19,15,133.0,0
1,1,19,30,133.0,0
1,1,19,45,132.0,0
1,1,20,0,135.0,1
1,1,20,15,135.0,1
1,1,20,30,133.0,0
1,1,20,45,132.0,0
1,1,21,0,130.0,0
1,1,21,15,130.0,0
1,1,21,30,125.0,0
1,1,21,45,128.0,0
1,1,22,0,120.0,0
1,1,22,15,120.0,0
1,1,22,30,118.0,0
1,1,22,45,116.0,0
1,1,23,0,115.0,0
1,1,23,15,117.0,0
1,1,23,30,112.0,0
1,1,23,45,111.0,0
2,1,0,0,116.0,0
2,1,0,15,111.0,0
2,1,0,30,111.0,0
2,1,0,45,111.0,0
2,1,1,0,111.0,0
2,1,1,15,111.0,0
2,1,1,30,110.0,0
2,1,1,45,110.0,0
2,1,2,0,110.0,0
2,1,2,15,110.0,0
2,1,2,30,110.0,0
2,1,2,45,110.0,0
2,1,3,0,110.0,0
2,1,3,15,110.0,0
2,1,3,30,110.0,0
2,1,3,45,110.0,0
2,1,4,0,110.0,0
2,1,4,15,110.0,0
2,1,4,30,110.0,0
2,1,4,45,110.0,0
2,1,5,0,110.0,0
2,1,5,15,110.0,0
2,1,5,30,110.0,0
2,1,5,45,110.0,0
2,1,6,0,110.0,0
2,1,6,15,110.0,0
2,1,6,30,110.0,0
2,1,6,45,110.0,0
2,1,7,0,110.0,0
2,1,7,15,113.0,0
2,1,7,30,118.0,0
2,1,7,45,120.0,0
2,1,8,0,121.0,0
2,1,8,15,119.0,0
2,1,8,30,123.0,0
2,1,8,45,126.0,0
2,1,9,0,133.0,0
2,1,9,15,133.0,0
2,1,9,30,135.0,1
2,1,9,45,135.0,1
2,1,10,0,135.0,1
2,1,10,15,135.0,1
2,1,10,30,134.0,1
2,1,10,45,133.0,0
2,1,11,0,129.0,0
2,1,11,15,126.0,0
2,1,11,30,128.0,0
2,1,11,45,125.0,0
2,1,12,0,127.0,0
2,1,12,15,127.0,0
2,1,12,30,118.0,0
2,1,12,45,122.0,0
2,1,13,0,127.0,0
2,1,13,15,127.0,0
2,1,13,30,129.0,0
2,1,13,45,123.0,0
2,1,14,0,120.0,0
2,1,14,15,123.0,0
2,1,14,30,122.0,0
2,1,14,45,120.0,0
2,1,15,0,124.0,0
2,1,15,15,126.0,0
2,1,15,30,125.0,0
2,1,15,45,125.0,0
2,1,16,0,126.0,0
2,1,16,15,127.0,0
2,1,16,30,127.0,0
2,1,16,45,130.0,0
