Date,Month,Day,Hours,Minutes,Weekend ,Intensity
2,10,Sun,8,0,0,336
2,10,Sun,8,15,0,345
2,10,Sun,8,30,0,356
2,10,Sun,8,45,0,375
2,10,Sun,9,0,0,390
2,10,Sun,9,15,0,409
2,10,Sun,9,30,0,420
2,10,Sun,9,45,0,432
2,10,Sun,10,0,0,436
2,10,Sun,10,15,0,456
2,10,Sun,10,30,0,472
2,10,Sun,10,45,0,475
2,10,Sun,11,0,0,484
2,10,Sun,11,15,0,482
2,10,Sun,11,30,0,486
2,10,Sun,11,45,0,494
2,10,Sun,12,0,0,506
2,10,Sun,12,15,0,513
2,10,Sun,12,30,0,511
2,10,Sun,12,45,0,508
2,10,Sun,13,0,0,503
2,10,Sun,13,15,0,478
2,10,Sun,13,30,0,474
2,10,Sun,13,45,0,471
2,10,Sun,14,0,0,459
2,10,Sun,14,15,0,457
2,10,Sun,14,30,0,461
2,10,Sun,14,45,0,452
2,10,Sun,15,0,0,455
2,10,Sun,15,15,0,451
2,10,Sun,15,30,0,448
2,10,Sun,15,45,0,445
2,10,Sun,16,0,0,454
2,10,Sun,16,15,0,461
2,10,Sun,16,30,0,472
2,10,Sun,16,45,0,486
2,10,Sun,17,0,0,493
2,10,Sun,17,15,0,487
2,10,Sun,17,30,0,492
2,10,Sun,17,45,0,491
2,10,Sun,18,0,0,486
2,10,Sun,18,15,0,482
2,10,Sun,18,30,0,481
2,10,Sun,18,45,0,482
2,10,Sun,19,0,0,477
2,10,Sun,19,15,0,475
2,10,Sun,19,30,0,479
2,10,Sun,19,45,0,483
2,10,Sun,20,0,0,486
2,10,Sun,20,15,0,478
2,10,Sun,20,30,0,465
2,10,Sun,20,45,0,458
2,10,Sun,21,0,0,453
2,10,Sun,21,15,0,439
2,10,Sun,21,30,0,442
2,10,Sun,21,45,0,428
2,10,Sun,22,0,0,420
2,10,Sun,22,15,0,415
2,10,Sun,22,30,0,402
2,10,Sun,22,45,0,388
2,10,Sun,23,0,0,378
2,10,Sun,23,15,0,360
2,10,Sun,23,30,0,348
2,10,Sun,23,45,0,340
3,10,Mon,0,0,0,333
3,10,Mon,0,15,0,314
3,10,Mon,0,30,0,305
3,10,Mon,0,45,0,293
3,10,Mon,1,0,0,289
3,10,Mon,1,15,0,271
3,10,Mon,1,30,0,267
3,10,Mon,1,45,0,242
3,10,Mon,2,0,0,238
3,10,Mon,2,15,0,221
3,10,Mon,2,30,0,218
3,10,Mon,2,45,0,204
3,10,Mon,3,0,0,203
3,10,Mon,3,15,0,202
3,10,Mon,3,30,0,199
3,10,Mon,3,45,0,183
3,10,Mon,4,0,0,183
3,10,Mon,4,15,0,189
3,10,Mon,4,30,0,191
3,10,Mon,4,45,0,209
3,10,Mon,5,0,0,208
3,10,Mon,5,15,0,229
3,10,Mon,5,30,0,237
3,10,Mon,5,45,0,244
3,10,Mon,6,0,0,246
3,10,Mon,6,15,0,262
3,10,Mon,6,30,0,268
3,10,Mon,6,45,0,290
3,10,Mon,7,0,0,305
3,10,Mon,7,15,0,326
3,10,Mon,7,30,0,335
3,10,Mon,7,45,0,332
3,10,Mon,8,0,0,340
3,10,Mon,8,15,0,342
3,10,Mon,8,30,0,347
3,10,Mon,8,45,0,364
3,10,Mon,9,0,0,381
