Date,Month,Hours,Minutes,Intensity,Congested
1,1,0,15,96.0,0
1,1,0,30,97.0,0
1,1,0,45,97.0,0
1,1,1,0,96.0,0
1,1,1,15,96.0,0
1,1,1,30,96.0,0
1,1,1,45,96.0,0
1,1,2,0,96.0,0
1,1,2,15,96.0,0
1,1,2,30,96.0,0
1,1,2,45,96.0,0
1,1,3,0,96.0,0
1,1,3,15,100.0,0
1,1,3,30,100.0,0
1,1,3,45,96.0,0
1,1,4,0,96.0,0
1,1,4,15,96.0,0
1,1,4,30,96.0,0
1,1,4,45,96.0,0
1,1,5,0,96.0,0
1,1,5,15,96.0,0
1,1,5,30,96.0,0
1,1,5,45,96.0,0
1,1,6,0,96.0,0
1,1,6,15,96.0,0
1,1,6,30,96.0,0
1,1,6,45,96.0,0
1,1,7,0,96.0,0
1,1,7,15,96.0,0
1,1,7,30,96.0,0
1,1,7,45,102.0,0
1,1,8,0,109.0,0
1,1,8,15,114.0,0
1,1,8,30,124.0,1
1,1,8,45,131.0,1
1,1,9,0,141.0,1
1,1,9,15,131.0,1
1,1,9,30,140.0,1
1,1,9,45,147.0,1
1,1,10,0,129.0,1
1,1,10,15,124.0,1
1,1,10,30,130.0,1
1,1,10,45,129.0,1
1,1,11,0,129.0,1
1,1,11,15,128.0,1
1,1,11,30,124.0,1
1,1,11,45,130.0,1
1,1,12,0,128.0,1
1,1,12,15,130.0,1
1,1,12,30,140.0,1
1,1,12,45,145.0,1
1,1,13,0,131.0,1
1,1,13,15,130.0,1
1,1,13,30,130.0,1
1,1,13,45,130.0,1
1,1,14,0,130.0,1
1,1,14,15,130.0,1
1,1,14,30,143.0,1
1,1,14,45,131.0,1
1,1,15,0,130.0,1
1,1,15,15,147.0,1
1,1,15,30,138.0,1
1,1,15,45,137.0,1
1,1,16,0,129.0,1
1,1,16,15,129.0,1
1,1,16,30,130.0,1
1,1,16,45,138.0,1
1,1,17,0,143.0,1
1,1,17,15,139.0,1
1,1,17,30,139.0,1
1,1,17,45,129.0,1
1,1,18,0,137.0,1
1,1,18,15,129.0,1
1,1,18,30,137.0,1
1,1,18,45,129.0,1
1,1,19,0,122.0,1
1,1,19,15,122.0,1
1,1,19,30,122.0,1
1,1,19,45,122.0,1
1,1,20,0,128.0,1
1,1,20,15,125.0,1
1,1,20,30,122.0,1
1,1,20,45,121.0,0
1,1,21,0,110.0,0
1,1,21,15,115.0,0
1,1,21,30,102.0,0
1,1,21,45,99.0,0
1,1,22,0,99.0,0
1,1,22,15,98.0,0
1,1,22,30,98.0,0
1,1,22,45,98.0,0
1,1,23,0,98.0,0
1,1,23,15,98.0,0
1,1,23,30,98.0,0
1,1,23,45,98.0,0
2,1,0,0,98.0,0
2,1,0,15,97.0,0
2,1,0,30,97.0,0
2,1,0,45,96.0,0
2,1,1,0,96.0,0
2,1,1,15,96.0,0
2,1,1,30,101.0,0
2,1,1,45,96.0,0
2,1,2,0,96.0,0
2,1,2,15,96.0,0
2,1,2,30,96.0,0
2,1,2,45,96.0,0
2,1,3,0,96.0,0
2,1,3,15,96.0,0
2,1,3,30,96.0,0
2,1,3,45,96.0,0
2,1,4,0,96.0,0
2,1,4,15,96.0,0
2,1,4,30,96.0,0
2,1,4,45,96.0,0
2,1,5,0,96.0,0
2,1,5,15,96.0,0
2,1,5,30,96.0,0
2,1,5,45,96.0,0
2,1,6,0,96.0,0
2,1,6,15,96.0,0
2,1,6,30,96.0,0
2,1,6,45,96.0,0
2,1,7,0,96.0,0
2,1,7,15,96.0,0
2,1,7,30,97.0,0
2,1,7,45,99.0,0
2,1,8,0,103.0,0
2,1,8,15,114.0,0
2,1,8,30,124.0,1
2,1,8,45,140.0,1
2,1,9,0,150.0,1
2,1,9,15,155.0,1
2,1,9,30,155.0,1
2,1,9,45,141.0,1
2,1,10,0,139.0,1
2,1,10,15,138.0,1
2,1,10,30,139.0,1
2,1,10,45,129.0,1
2,1,11,0,129.0,1
2,1,11,15,137.0,1
2,1,11,30,129.0,1
2,1,11,45,128.0,1
2,1,12,0,123.0,1
2,1,12,15,130.0,1
2,1,12,30,124.0,1
2,1,12,45,130.0,1
2,1,13,0,131.0,1
2,1,13,15,138.0,1
2,1,13,30,140.0,1
2,1,13,45,130.0,1
2,1,14,0,129.0,1
2,1,14,15,139.0,1
2,1,14,30,146.0,1
2,1,14,45,147.0,1
2,1,15,0,140.0,1
2,1,15,15,139.0,1
2,1,15,30,129.0,1
2,1,15,45,129.0,1
2,1,16,0,124.0,1
2,1,16,15,128.0,1
2,1,16,30,129.0,1
2,1,16,45,147.0,1
2,1,17,0,130.0,1
2,1,17,15,129.0,1
2,1,17,30,129.0,1
2,1,17,45,129.0,1
2,1,18,0,129.0,1
2,1,18,15,129.0,1
2,1,18,30,129.0,1
2,1,18,45,128.0,1
2,1,19,0,117.0,0
2,1,19,15,128.0,1
2,1,19,30,128.0,1
2,1,19,45,128.0,1
2,1,20,0,127.0,1
2,1,20,15,125.0,1
2,1,20,30,115.0,0
2,1,20,45,106.0,0
2,1,21,0,113.0,0
2,1,21,15,101.0,0
2,1,21,30,100.0,0
2,1,21,45,100.0,0
2,1,22,0,98.0,0
2,1,22,15,100.0,0
2,1,22,30,98.0,0
2,1,22,45,98.0,0
2,1,23,0,98.0,0
2,1,23,15,98.0,0
2,1,23,30,97.0,0
2,1,23,45,98.0,0
3,1,0,0,98.0,0
3,1,0,15,98.0,0
3,1,0,30,97.0,0
3,1,0,45,96.0,0
3,1,1,0,96.0,0
3,1,1,15,96.0,0
3,1,1,30,96.0,0
3,1,1,45,96.0,0
3,1,2,0,96.0,0
3,1,2,15,96.0,0
3,1,2,30,96.0,0
3,1,2,45,96.0,0
3,1,3,0,96.0,0
3,1,3,15,96.0,0
3,1,3,30,96.0,0
3,1,3,45,96.0,0
3,1,4,0,96.0,0
3,1,4,15,96.0,0
3,1,4,30,96.0,0
3,1,4,45,96.0,0
3,1,5,0,96.0,0
3,1,5,15,96.0,0
3,1,5,30,96.0,0
3,1,5,45,96.0,0
3,1,6,0,96.0,0
3,1,6,15,96.0,0
3,1,6,30,96.0,0
3,1,6,45,96.0,0
3,1,7,0,96.0,0
3,1,7,15,97.0,0
3,1,7,30,97.0,0
